title,list_time,series_name,company_name,industry,data_type,product_type,description,keyword,update_frequency,coverage,storage,storage_incr,dimension,use_case,url,category,category_aws
有色金属现货指数查询,2024-01-17,有色金属现货价格指数,上海有色金属交易中心有限公司,"金融,贸易,先进制造",有色金属现货价格,数据集,有色金属现货价格指数序列以上海有色金属交易中心编制的有色金属现货价格指数方法论为核心，选取国内流通范围最广、成交活跃度最高的六大基础品种，每日向国内上中下游龙头企业以及贸易采集征询的现货价格编制而成，并通过专家委员会评审。价格指数全面、客观反映主流消费地有色金属现货市场整体状况和价格总体走向。,有色金属，现货，价格,"动态
(每日更新)",华东地区,1 MB,0.01 MB,20.0,"

        2021年单品种指数铜、铝、锌指数被**电工其购买用于其公司海外项目计量结算，此后连续购买相关数据服务至2024年，价格指数序列原始数据被中国人民银行纳入企业商品交易价格调查样本库。

",https://nidts.chinadep.com/ep-hall/spec?id=4285,金融,Financial Services Data
产业服务云-区域/街镇版,2024-01-16,产业服务云（区域）,上海仕聚网络科技有限公司,综合,产业创新信息,数据应用,依托产业创新大数据底座，结合GIS技术，实现区域产业透视，全面呈现该区域内重点关注产业链的创新企业总数，及企业的空间分布、产业关系、科创发展，区域重点企业发展动态，产业实时舆情动态，目标招商企业分布情况。帮助政府实现区域产业情况全面掌握，助力政府整合产业链上下游资源，区域安商稳商、靶向精准招商。,产业链图谱，产业家底，产业链招商,静态,全国各区县市、街镇的企业工商数据，重点、热点产业链图谱,80 GB,,200.0,"

某地政府使用本数据应用服务，有效地完成该地区产业透视分析，对该地区内重点企业进行有效的监测和分析，掌握该地区重点企业的产业关系，提升政府对重点企业服务和培育的能力；同时建立长三角目标企业招商数据库，系统性挖掘该地重点发展的产业链目标企业。

",https://nidts.chinadep.com/ep-hall/spec?id=4284,综合,"Retail, Location & Marketing Data"
犀维采购智慧预警,2024-01-12,犀维采购监督预警,大唐电商技术有限公司,综合,企业,数据应用,基于需方的采购业务数据构建采购智能预警数据模型及平台，实现对企业采购全链路采购环节的分析预警，及时发现诸如疑似围标串标、失信人投标等采购违规行为，并可对采购周期等采购状态进行实时计算和监控，赋能企业物资高效化、科学化、合理化采购。,采购预警,"动态
(每日更新)",全国,100 GB,30 MB,300.0,"

***物资集团有限公司通过该系统对接采购业务数据，实现企业采购数据驾驶舱，并基于数据分析构建定制化采购预警模型，进而实现采购全流程环节的监督管控，对采购异常行为及异常状态进行及时预警和反馈。赋能企业采购更加高效规范，为企业的经营决策提供精确的数据支撑。

",https://nidts.chinadep.com/ep-hall/spec?id=4200,综合,"Retail, Location & Marketing Data"
企见-企业财产线索尽调平台,2024-01-03,企见-企业财产线索尽调平台,云数未来（上海）大数据科技有限公司,"金融,综合,贸易",企业财产线索信息,数据应用,企见，是针对企业财产线索信息尽调的一站式智能化平台，提供企业财产线索查询、财产尽调报告下载、财产线索智能分析、财产线索数据导出四大功能。旨在帮助政府机构、律师事务所、金融机构、企业全面了解合作伙伴相关财产价值信息，精准研判、降低合作风险。,企业财产，财产尽调，风险评估,"动态
(实时更新)",全国,100 GB,10 GB,923.0,"

通过企见平台，可解决金融机构、律师事务所、税务部门、企业等多个应用场景在企业财产尽调、风险控制等方面的业务需求，形成企业财产线索查询、企业财产尽调报告、财产智能分析、财产数据导出等解决方案。针对金融机构的企业借贷、企业风险评估、贷后追偿等业务提供重要、及时的参考依据；针对法律行业的企业财产尽调、法律诉讼、客户服务、投融资、非诉业务、案源挖掘等提供多场景应用；针对税务部门的欠税企业财产查询、税源发现提供及时线索；针对企业的法务、风控、财务等部门在法律诉讼、供应商风险防控等工作中提供高效解决方案，可有效评估合作伙伴的各类风险、经营状况、财产背景调查等场景的业务能力。打通数据应用与用户间的最后一公里，助力客户解决“风险评估、风险预警、企业尽调”等问题，大大降低人力、物力及时间成本。

",https://nidts.chinadep.com/ep-hall/spec?id=4144,金融,Financial Services Data
数字化智慧认证平台,2023-12-28,数字化智慧认证平台,上海看看智能科技有限公司,综合,生活服务,数据应用,数字化智慧认证平台是一种基于大数据、人脸识别技术的身份认证系统，对需方提交的姓名、身份证号码进行分析、验证，确认待核验人员的真实性和合法性。为政府机构、企事业单位、社会团体等提供安全、便捷的身份认证服务。该平台具有提高认证效率、加强安全性、便于管理和监控等优点，同时保护用户隐私和数据安全。,身份核验，人脸认证,"动态
(实时更新)",全国,350 GB,10 GB,25.0,"

河南洛阳市XX社保局通过该认证平台，认证率有大的提升,老百姓满意度提升；

河北省衡水市XXX卫健委通过该认证平台，实时了解认证进度，工作效率有所改善。

黑龙江省绥化市XXX县民政局通过该认证平台，增加认证频次，杜绝发放金的冒领情况。

",https://nidts.chinadep.com/ep-hall/spec?id=3958,综合,Public Sector Data
海关失信名单,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,海关失信名单产品汇集由海关总署及各地方海关发布的海关失信企业信息。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,海关失信,"动态
(每周更新)",全国,1 GB,200 MB,15.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3956,金融,Financial Services Data
安全生产,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,安全生产名单产品汇集安全生产监督管理总局以及各级地方安监局发布的安全生产数据信息。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险类金融机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,安全生产,"动态
(每周更新)",全国,1.5 GB,100 MB,14.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3955,金融,Financial Services Data
失信被执行人,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,失信被执行人产品是中经社红黑名单数据产品的重要板块，数据总量近二百万，时间覆盖近二十年数据。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，场景包括申请信贷、风险识别的审核管理等领域,失信被执行,"动态
(每周更新)",全国,2 GB,300 MB,25.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3954,金融,Financial Services Data
行政处罚,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,行政处罚产品是汇集包括发改委，税务总局，市场监管总局、交通运输部等多个部委，以及各级政府单位、主要行业协会的处罚数据，数据总量接近二百万条，时间覆盖近二十年数据。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，帮助用户应对合规要求、了解隐藏威胁、预防交易过程中的潜在风险,行政处罚,"动态
(每周更新)",全国,40 GB,4 GB,34.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3953,金融,Financial Services Data
拖欠农民工工资名单,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,拖欠农民工工资数据来自人社部及全国各级地方社会保障局公布的公开数据。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,拖欠工资,"动态
(每周更新)",全国,1.5 GB,0.3 GB,36.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3952,金融,Financial Services Data
交通运输黑名单,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,交通运输黑名单产品汇集由交通运输部和各级交通监管局发布的1年内违法超限运输超过本单位货运车辆10%的道路运输企业信息。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,交通运输,"动态
(每周更新)",全国,2.7 GB,200 MB,12.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3951,金融,Financial Services Data
环保处罚,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,环保处罚产品汇集生态环境部及各级地方环境局发布的环保处罚类数据。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,环保处罚,"动态
(每周更新)",全国,1.3 GB,300 MB,12.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3950,金融,Financial Services Data
税收违法,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,税收违法产品汇集国家税务总局及各地方税务局发布的税收违法数据。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,税收违法,"动态
(每周更新)",全国,1.3 GB,250 MB,17.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=4027,金融,Financial Services Data
金融监管,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,金融监管产品覆盖金融监管总局、央行、证监会和外汇管理局等机构公布的处罚数据，时间维度覆盖超二十年，总量超二十万条。可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险,金融监管,"动态
(每周更新)",全国,5.8 GB,0.8 GB,36.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3948,金融,Financial Services Data
企业舆情事件,2023-12-28,企业风险识别,中国经济信息社有限公司,"金融,综合",企业信息,数据集,"覆盖全网披露的舆情信息涉及的公司，包括上市公司、发债人及一般企业，及对应的事件信息，并对相应的事件的正负面情感及情感重要性进行等级划分,可作为持牌征信机构数据来源，由其采买后用于企业和银行、保险等金融类机构，服务于申请信贷、风险识别的审核管理等领域，助力客户预知潜在风险",企业舆情,"动态
(每日更新)",全国,4 TB,5 GB,11.0,"

已服务多家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=4029,金融,Financial Services Data
园区全维度,2023-12-28,园区全维度,中国经济信息社有限公司,"金融,综合",企业信息,数据集,精细化分类覆盖全国各省市园区及园区内企业；丰富的园区画像；可对比其他园区发展情况（区域发展规划，投资机会和优势吸引投资者，政策制定，基础设施规划，企业服务，市场调研，监测和评估）,园区,"动态
(每日更新)",全国,48 GB,200 MB,18.0,"

已服务某国有上市银行，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类、地图数据等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3946,金融,Financial Services Data
公司基础分,2023-12-28,中经ESG,中国经济信息社有限公司,"金融,综合",企业信息,数据集,ESG基础数据从环境、社会、治理三个一级维度，从公司行为、战略管理、治理成果、环境治理、环境监管、资源使用、产品及服务、利益相关方、员工关系、社会公益共11个二级维度，以及企业违规等42个三级维度得分来全面衡量一家企业的非财报部分表现，综合多维度衡量企业表现，揭示企业可能面临的风险,ESG,"动态
(每一年更新)",全国,20 GB,300 MB,12.0,"

已服务多家上市企业，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3944,金融,Financial Services Data
公司总得分,2023-12-28,中经ESG,中国经济信息社有限公司,"金融,综合",企业信息,数据集,包含ESG相关指标评价体系和评分数据库，数据范围包括企业的环境管理制度建设、污染处理措施、绿色项目投资、节能节水情况、员工培训、消费者隐私保护、产品专利保护、外部认证、廉政建设等计算得出公司的ESG总得分,ESG,"动态
(每一年更新)",全国,12 GB,100 MB,17.0,"

已服务多家上市企业，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3943,金融,Financial Services Data
市场价格供需,2023-12-28,E-GAS天然气行业全景,中国经济信息社有限公司,"金融,综合",企业信息,数据集,市场价格供需产品聚焦国内外天然气市场价格、供需数据，覆盖细化至省、市的天然气行业生产、消费、进口、LNG 航运、国内外天然气以及相关竞争能源品种的价格行情、气温变化等数据。各项数据更新及时，其中，LNG进口数据方面能做到实时统计。,能源价格,"动态
(每一年更新)",全国,1.8 GB,200 MB,21.0,"

已服务某大型能源类央企，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3941,金融,Financial Services Data
政策法规标准,2023-12-28,E-GAS天然气行业全景,中国经济信息社有限公司,"金融,综合",企业信息,数据集,政策法规标准产品聚焦国内天然气行业政策、法规、标准，助力用户实时了解全球LNG贸易及我国LNG进出口政策,能源政策,"动态
(每一年更新)",全国,1 GB,100 MB,21.0,"

已服务某大型能源类央企，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3940,金融,Financial Services Data
产业链基础设施,2023-12-28,E-GAS天然气行业全景,中国经济信息社有限公司,"金融,综合",企业信息,数据集,E-Gas产业链基础设施数据覆盖国内天然气全产业链、全球LNG产业链基础设施概况。,基础设施,"动态
(每一年更新)",全国,3.2 GB,400 MB,21.0,"

已服务多家大型能源类企业，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3939,金融,Financial Services Data
绿色项目,2023-12-28,绿金全视角,中国经济信息社有限公司,"金融,综合",企业信息,数据集,新华财经绿色项目产品结合当下热点，依托双碳主题数据，从政策法规、宏观指标、碳交易行情、碳金融等多个维度去收集双碳相关的数据，涵盖绿色项目详情、行业类别、融资额等维度，为银行、基金等各类金融机构去提供数据支撑,绿色项目,"动态
(每一年更新)",全国,200 MB,80 MB,25.0,"

已服务两家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3937,金融,Financial Services Data
企业榜单,2023-12-28,企业价值洞察,中国经济信息社有限公司,"金融,综合",企业信息,数据集,企业榜单产品聚焦企业特色标签，包括人工智能、类脑智能等是十余项企业标签。依托大数据技术进行存储、建模、分解、运算、统计，全面展现企业在人工智能领域的价值亮点维度。主要服务于各类企业及金融行业机构，发掘企业用户的核心价值,特色产业,"动态
(每日更新)",全国,3 GB,2 MB,9.0,"

可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3934,金融,Financial Services Data
企业政府支持,2023-12-28,企业价值洞察,中国经济信息社有限公司,"金融,综合",企业信息,数据集,企业政府支持产品包括政府资金支持补助、政府支持培育项目企业、科创比赛获奖企业等，共包含10个标签小类，依托大数据技术进行存储、建模、分解、运算、统计，全面展现企业价值亮点维度。主要服务于各类企业及金融行业机构，发掘企业用户的核心价值,政府支持,"动态
(每日更新)",全国,0.5 GB,0.2 MB,32.0,"

可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3933,金融,Financial Services Data
企业资质证照,2023-12-28,企业价值洞察,中国经济信息社有限公司,"金融,综合",企业信息,数据集,企业资质证照产品涵盖许可证照企业、行业规范准入企业等方面，共包含45个标签小类，依托大数据技术进行存储、建模、分解、运算、统计，全面展现企业价值亮点维度。主要服务于各类企业及金融行业机构，发掘企业用户的核心价值,资质证照,"动态
(每日更新)",全国,0.5 GB,0.2 MB,28.0,"

可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3932,金融,Financial Services Data
企业科创能力,2023-12-28,企业价值洞察,中国经济信息社有限公司,"金融,综合",企业信息,数据集,企业科创能力产品涵盖企业知识产权、科创资质、研发资质等方面，共包含45个标签小类，依托大数据技术进行存储、建模、分解、运算、统计，全面展现企业价值亮点维度。主要服务于各类企业及金融行业机构，发掘企业用户的核心价值,科创能力,"动态
(每日更新)",全国,1 GB,3 MB,23.0,"

可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3931,金融,Financial Services Data
特色农产品价格风向标,2023-12-28,特色农产品价格,中国经济信息社有限公司,"金融,综合",农产品,数据集,新华财经农产品价格及价格指数产品提供主要流通农产品价格及其价格指数。覆盖具体农产品和指定日期，以及该农产品最新及历史产销价格、价格指数情况，包括脐橙、马铃薯、芒果、红枣、苹果、花椒、辣椒和香蕉等,农产品,"动态
(每一年更新)",湖北秭归脐橙、重庆奉节脐橙、甘肃定西马铃薯、云南丽江芒果、红枣、山西运城苹果，甘肃武都花椒，贵州遵义辣椒、香蕉,1 GB,0.2 GB,13.0,"

已于2022年为某商品交易所提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3929,金融,Financial Services Data
资本市场,2023-12-28,财经资讯,中国经济信息社有限公司,"金融,综合",企业信息,数据集,聚焦全球主要股市监管政策及市场动向，及时播报影响全球股市的重要资讯，敏锐把握影响市场的动态信息，对市场、行业板块、上市公司、独角兽企业等全面覆盖，为投资者提供针对性的资讯及投资参考,资本市场,"动态
(每日更新)",全国,450 GB,100 MB,53.0,"

为国有大行、地方性银行、股份制商业银行、行业协会、大中企业等各类机构提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3928,金融,Financial Services Data
债券市场,2023-12-28,财经资讯,中国经济信息社有限公司,"金融,综合",企业信息,数据集,聚焦全球主要主权债务及国内债券品种， 实时追踪市场波动，分析收益率走势，解读基本面、金融数据、央行货币政策影响。由于市场的数据和信息过于繁多， 需要对采集到的数据进行提炼和加工，可推送静态和动态图表、语音甚至视频,债券市场,"动态
(每日更新)",全国,140 GB,50 MB,53.0,"

为国有大行、地方性银行、股份制商业银行、行业协会、大中企业等各类机构提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3927,金融,Financial Services Data
大宗商品,2023-12-28,财经资讯,中国经济信息社有限公司,"金融,综合",企业信息,数据集,聚焦海内外商品期货市场，关注大宗商品价格走势、产业链动态、宏观政策、产业政策，提供及时专业的分析解读,大宗商品,"动态
(每日更新)",全国,220 GB,200 MB,53.0,"

为国有大行、地方性银行、股份制商业银行、行业协会、大中企业等各类机构提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3925,金融,Financial Services Data
企业金融行为,2023-12-28,企业价值洞察,中国经济信息社有限公司,"金融,综合",企业信息,数据集,企业金融行为产品涵盖企业上市、发债、投融资、并购、股权质押等多个金融行为。全面展现企业金融方面价值维度。主要服务于各类企业及金融行业机构，发掘企业用户的核心价值,金融行为,"动态
(每日更新)",全国,3 GB,1 MB,56.0,"

可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3930,金融,Financial Services Data
货币市场,2023-12-28,财经资讯,中国经济信息社有限公司,"金融,综合",企业信息,数据集,聚焦人民银行、银保监会等部门政策，提供及时专业的分析解读；跟踪资金市场流动性走势，洞察大资管领域事态动向；涵盖银行、保险、信托、消费金融、支付等领域热点，致力提供既快又准、既广且深的金融市场信息资讯,货币市场,"动态
(每日更新)",全国,180 GB,20 MB,53.0,"

为国有大行、地方性银行、股份制商业银行、行业协会、大中企业等各类机构提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3924,金融,Financial Services Data
宏观经济,2023-12-28,财经资讯,中国经济信息社有限公司,"金融,综合",企业信息,数据集,聚焦全球、中国重大经济数据、事件及财政货币产业政策，在经济领域有一定影响力的权威人士或机构的观点言论,宏观经济,"动态
(每日更新)",全国,460 GB,150 MB,53.0,"

为国有大行、地方性银行、股份制商业银行、行业协会、大中企业等各类机构提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3923,金融,Financial Services Data
政策法规,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,政策法规数据库由大数据中心自主采集维护，采集范围覆盖全国人大、国务院及各部门、各部委、地方政府、交易所、自律机构等，类型囊括法律、行政法规、地方性法规、司法解释等。产品以大数据技术为依托，实现数据处理、标签赋值等多层次数据建设，形成了完善的政策法规库，数据从采集到发布形成完整闭环，目前数据日度更新。,政策法规,"动态
(每日更新)",全国,20 GB,8 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3922,金融,Financial Services Data
重庆专项法库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,重庆专项法库收录255个重庆地方的机关机构发布的政策法规，依托中经社大数据相关技术，实现数据处理等多层次数据建设。多用于地方银行合规部、风控部、信贷部等。,重庆法规,"动态
(每日更新)",全国,19 GB,6 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3921,金融,Financial Services Data
县域高质量发展指数,2023-12-28,县域发展监测,中国经济信息社有限公司,"金融,综合",企业信息,数据集,为精准赋能县域高质量发展，新华社中国经济信息社与财经城市研究院联合组建中国县域高质量发展指数研究课题组，发布《2023中国县域高质量发展指数报告》，后续将陆续推出相应的年度报告，对全国县域发展状况进行系统评估分析,县域高质量,"动态
(每一年更新)",全国,2 MB,1 MB,29.0,"

已服务某国有大型银行，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3957,金融,Financial Services Data
金融法规库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,收录国家立法、司法及监察机关、党中央机构、国务院、国务院各机构、中国人民政治协商会议、证券监管、交易场所及结算机构、金融机构、国务院国资委出资的中央企业、国有独资公司等460+机关单位以及全国31个省及市政府网站发布的的多个栏目的信息中金融领域政策法规数据,金融法规,"动态
(每日更新)",全国,5 GB,2 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3920,金融,Financial Services Data
并购专项法库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,收录国家立法、司法及监察机关、党中央机构、国务院、国务院各机构、中国人民政治协商会议、证券监管、交易场所及结算机构、金融机构、国务院国资委出资的中央企业、国有独资公司等460+机关单位以及全国31个省及市政府网站发布的的多个栏目的信息中并购专项政策法规数据,并购,"动态
(每日更新)",全国,5 GB,2 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3919,金融,Financial Services Data
债券发行专项法库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,收录国家立法、司法及监察机关、党中央机构、国务院、国务院各机构、中国人民政治协商会议、证券监管、交易场所及结算机构、金融机构、国务院国资委出资的中央企业、国有独资公司等460+机关单位以及全国31个省及市政府网站发布的的多个栏目的信息中债券发行领域政策法规数据,债券发行,"动态
(每日更新)",全国,5 GB,1 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3918,金融,Financial Services Data
地方法规,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,地方法规收录全国31个省及市政府各级机关、交易所及监管机构的多个栏目发布的政策法规信息。依托大数据相关技术，实现数据处理等多层次数据建设。数据从采集到发布形成完整闭环，目前已实现日度更新。主要用于金融领域的合规、风控或信贷板块,地方法规,"动态
(每日更新)",全国,5 GB,1 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3917,金融,Financial Services Data
外汇市场,2023-12-28,财经资讯,中国经济信息社有限公司,"金融,综合",企业信息,数据集,聚焦SDR币种及新兴市场币种，提供即时的基本面、经济数据分析和解读，致力为市场投资者提供全面、及时、专业的国际金融市场资讯,外汇市场,"动态
(每日更新)",全国,270 GB,30 MB,53.0,"

为国有大行、地方性银行、股份制商业银行、行业协会、大中企业等各类机构提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3926,金融,Financial Services Data
中央法规库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,收录由国家立法、司法及监察机关、党中央机构、国务院、国务院各机构、中国人民政治协商会议、证券监管、交易场所及结算机构、金融机构、国务院国资委出资的中央企业、国有独资公司等460+机关单位发布的政策法规数据，依托大数据相关技术，实现数据处理等多层次数据建设。目前已实现日度更新。,中央法规,"动态
(每日更新)",全国,5 GB,2 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3916,金融,Financial Services Data
IPO专项法库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,收录国家立法、司法及监察机关、党中央机构、国务院、国务院各机构、中国人民政治协商会议、证券监管、交易场所及结算机构、金融机构、国务院国资委出资的中央企业、国有独资公司等460+机关单位发布的法规中IPO领域政策法规数据。,IPO,"动态
(每日更新)",全国,5 GB,2 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3915,金融,Financial Services Data
绿色金融产品,2023-12-28,绿金全视角,中国经济信息社有限公司,"金融,综合",企业信息,数据集,新华财经绿色金融产品依托双碳数据，从绿色债券、保险、基金、指数、信贷等多维度披露双碳相关信息，可为银行、基金等各类金融机构及碳资产管理公司在碳市场领域提供数据服务。,绿色信贷,"动态
(每一年更新)",全国,200 MB,60 MB,22.0,"

已服务两家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3936,金融,Financial Services Data
绿色企业,2023-12-28,绿金全视角,中国经济信息社有限公司,"金融,综合",企业信息,数据集,新华财经绿色企业产品包含企业环境数据（资源能源消耗、绿色建筑及科技、环境管理、环境信用评价、环罚、排污重点监控、排污许可证、排污执行报告、排污限期整改等）和企业碳排放数据（温室气体重点排放单位信息），可为银行、基金等各类金融机构及碳资产管理公司在碳市场领域提供数据服务,绿色企业,"动态
(每一年更新)",全国,100 MB,50 MB,42.0,"

已服务两家企业客户，可应用于金融、证券、银行、贸易等多个业务场景，能够形成产业投资研究、商业分析、查询类等产品

",https://nidts.chinadep.com/ep-hall/spec?id=3935,金融,Financial Services Data
数字经济法规库,2023-12-28,中经法库,中国经济信息社有限公司,"金融,综合",企业信息,数据集,收录国家立法、司法及监察机关、党中央机构、国务院、国务院各机构、中国人民政治协商会议、证券监管、交易场所及结算机构、金融机构、国务院国资委出资的中央企业、国有独资公司等460+机关单位及全国31个省及市政府各级机关、交易所及监管机构发布数字经济领域相关的政策法规,数字经济,"动态
(每日更新)",全国,5 GB,1 MB,56.0,"

2022年和2023年分别中标两家地方性农商行的政策法规数据采购，已正常提供服务

",https://nidts.chinadep.com/ep-hall/spec?id=3914,金融,Financial Services Data
